Dish Name,Ingredients
Jeera Rice,"tomato, lettuce, chicken, cucumber, rice, yogurt"
Mint Pulao,"rice, noodles, mint, corn, onion, garlic, beans"
Tomato Rice,"flour, oil, bread, egg, pepper, chili, cilantro, spices"
Lemon Rice,"ginger, lettuce, noodles, bread, cheese, yogurt"
Masala Roti,"cucumber, potato, ginger, pepper, lemon, milk, chicken, salt"
Garlic Naan,"cheese, garlic, potato, carrot, pepper, mint, chili"
Cheese Paratha,"bread, milk, corn, oil, sugar"
Aloo Matar,"cilantro, corn, ginger, beans, butter, cheese, sugar, tomato"
Dal Tadka,"chili, tomato, onion, cilantro, carrot, milk"
Baingan Bharta,"butter, bread, chili, chicken, onion"
Chana Masala,"potato, pepper, lettuce, noodles, chicken"
Mixed Veg Sabzi,"ginger, yogurt, mint, flour, sugar, chili, rice, onion"
Rajma Curry,"rice, cucumber, chicken, sugar, bread, yogurt, pepper, carrot"
Masala Corn Curry,"oil, chili, chicken, mint, ginger"
Butter Chicken,"cilantro, carrot, lemon, flour, egg, chili, oil"
Chicken Tikka Masala,"chili, salt, beans, mint, cilantro"
Chicken Korma,"onion, chili, garlic, ginger, cheese, chicken, noodles"
Mint Chicken Curry,"lettuce, noodles, beans, garlic, salt, lemon, butter, chicken"
Garlic Chili Chicken,"tomato, pepper, butter, onion, beans, chicken"
Tandoori Chicken,"garlic, carrot, salt, pepper, ginger"
Spicy Pepper Chicken,"milk, potato, noodles, garlic, spices"
Pakoras,"salt, noodles, corn, flour, spices, butter"
Chili Cheese Toast,"cucumber, rice, cheese, sauce, butter"
Aloo Tikki,"noodles, salt, milk, cheese, corn, carrot"
Mint Chutney,"egg, mint, ginger, sugar, spices, beans, milk"
Tomato & Onion Raita,"milk, sauce, rice, onion, cucumber, mint"
Cucumber Mint Raita,"garlic, egg, sauce, lettuce, pepper, lemon, milk, flour"
Spicy Garlic Chutney,"carrot, egg, onion, milk, garlic"
Sweet Rice Kheer,"lettuce, tomato, milk, noodles, onion"
Gajar Halwa,"chicken, pepper, potato, sauce, onion"
Mint Lassi,"spices, milk, carrot, potato, onion, butter"
Lemon Sharbat,"mint, noodles, rice, milk, sauce, yogurt, egg, oil"
Masala Milk,"cilantro, garlic, butter, ginger, tomato, pepper"
Chicken Fried Rice,"egg, lettuce, bread, noodles, onion, chicken, sauce, tomato"
Spicy Potato Curry,"mint, pepper, milk, lemon, salt, chili, bread, cilantro"
Cheesy Noodles,"egg, ginger, potato, cheese, beans, cucumber, noodles, pepper"
Minty Corn Salad,"salt, bread, butter, mint, rice, garlic, spices"
Garlic Butter Chicken,"spices, bread, beans, butter, yogurt"
